sku_id,discount,orders_num,gmv,margin,ds
1,-0.1,2363.433516073231,31897.783792817718,0.0,20240101
1,-0.08,2358.67739713546,31890.77377906295,637.8154755812589,20240101
1,-0.06,2354.0328329784447,31883.916021255634,1275.3566408502256,20240101
1,-0.04,2349.494915527651,31877.20407651877,1912.6322445911267,20240101
1,-0.02,2345.059049322819,31870.6319018491,2549.650552147928,20240101
1,0.0,2340.7209256970536,31864.19382172087,3186.4193821720874,20240101
1,0.02,2336.4764995574346,31857.884498903877,3822.9461398684653,20240101
1,0.04,2332.321968459635,31851.698908120725,4459.237847136901,20240101
1,0.06,2328.2537537105563,31845.63231221808,5095.301169954893,20240101
1,0.08,2324.268483268201,31839.680240569625,5731.142443302533,20240101
1,0.1,2320.362976238051,31833.838469464503,6366.767693892901,20240101
3,-0.1,1241.9878423192565,14944.970325673741,0.0,20240101
3,-0.08,1231.3878727024273,14941.685945535359,298.83371891070715,20240101
3,-0.06,1221.1034523063836,14938.472901406756,597.5389160562704,20240101
3,-0.04,1211.1187678432289,14935.328174626631,896.1196904775979,20240101
3,-0.02,1201.4191069995877,14932.248933885288,1194.5799147108232,20240101
3,0.0,1191.99076116691,14929.232520046142,1492.9232520046144,20240101
3,0.02,1182.8209385150415,14926.27643247318,1791.1531718967817,20240101
3,0.04,1173.8976861303404,14923.378316688662,2089.2729643364128,20240101
3,0.06,1165.2098201189913,14920.535953208751,2387.2857525134004,20240101
3,0.08,1156.7468627274745,14917.747247424666,2685.19450453644,20240101
3,0.1,1148.498985660282,14915.010220414186,2983.0020440828375,20240101
4,-0.1,3924.782603200796,228148.1765377327,0.0,20240101
4,-0.08,3923.9200736842754,228098.0375730309,4561.960751460618,20240101
4,-0.06,3923.076278117977,228048.98761554674,9121.959504621873,20240101
4,-0.04,3922.250423754301,228000.98058274837,13680.058834964902,20240101
4,-0.02,3921.4417670471066,227953.97325219176,18236.317860175343,20240101
4,0.0,3920.649609665596,227907.92502980735,22790.792502980737,20240101
4,0.02,3919.873294903701,227862.7977411771,27343.535728941257,20240101
4,0.04,3919.1122044387994,227818.5554431181,31894.597762036534,20240101
4,0.06,3918.365755399768,227775.16425324828,36444.02628051973,20240101
4,0.08,3917.633397709635,227732.59219551418,40991.86659519255,20240101
4,0.1,3916.914611672518,227690.80905991953,45538.16181198391,20240101
7,-0.1,5218.345345748206,1162171.1943363626,0.0,20240101
7,-0.08,5217.198536525081,1161915.7898822287,23238.315797644565,20240101
7,-0.06,5216.076635744498,1161665.932756318,46466.63731025273,20240101
7,-0.04,5214.978589378455,1161421.3882173675,69685.28329304204,20240101
7,-0.02,5213.903408816644,1161181.9360932058,92894.55488745647,20240101
7,0.0,5212.85016556655,1160947.3696004217,116094.73696004218,20240101
7,0.02,5211.817986479416,1160717.4942811425,139286.0993137371,20240101
7,0.04,5210.806049440667,1160492.1270432547,162468.89778605566,20240101
7,0.06,5209.813579471634,1160271.0952922239,185643.37524675584,20240101
