sku_id,elasticity_gmv,elasticity_orders_num
1,-0.01,-0.09165171157524102
3,-0.01,-0.38997888819875665
4,-0.01,-0.01
7,-0.01,-0.01
8,-0.01,-0.01
10,-0.01,-0.01
11,-0.01,-0.03811952397692185
16,-0.01,-0.01
17,-0.01,-0.01
19,-0.01,-0.1938215762768117
20,-0.01,-0.01
21,-0.01,-0.01
23,-0.01,-0.01
24,-0.01,-0.01
25,-0.01,-0.2040857964817961
30,-0.01,-0.01
31,-0.01,-0.55047226369558
32,-0.01,-0.01
33,-0.01,-0.129897984727263
34,-0.17692126324456262,-1.0698833393619067
35,-0.01,-0.025499626173839048
40,-0.01,-0.24710360620223704
41,-0.01,-0.01
42,-0.01,-0.19079231680639938
44,-0.01,-0.01
45,-0.01,-0.40032799928665863
47,-0.01,-0.01
48,-0.01,-0.01
51,-0.01,-0.1109900438101895
56,-0.01,-0.01
58,-0.01,-0.6393004109267901
59,-0.01,-0.48741210269600227
60,-0.01,-0.5504920268543968
63,-0.01,-0.5159452844546892
65,-0.01,-0.47879383946931137
66,-0.01,-0.09532501978685279
67,-0.01,-0.01
68,-0.01,-0.4428404868785387
69,-0.01,-0.01
71,-0.7538005759412802,-1.7399514024445568
77,-0.01,-0.01
79,-0.01,-0.01
80,-0.01,-0.01
82,-0.01,-0.01
83,-0.01,-0.01
84,-0.01,-0.01
87,-0.01,-0.2804145592974404
94,-0.01,-0.01
96,-0.01,-0.4279530636658077
97,-0.01,-0.01
102,-0.01,-0.012451174323274472
104,-0.01,-0.01
105,-0.01,-0.01
108,-0.01,-0.04854365203402109
109,-0.01,-0.01
111,-0.01,-0.1377771044804456
113,-0.01,-0.847893589505076
115,-0.01,-0.01
116,-0.01,-0.01
117,-3.0,-3.0
118,-3.0,-3.0
119,-0.01,-0.01
120,-0.01,-0.7075616902933732
124,-0.01,-0.01
125,-0.049117085062389446,-1.041734334529177
126,-0.01,-0.01
128,-0.01,-0.7511401950292723
129,-0.01,-0.25980655155715
131,-0.01,-0.01
133,-0.01,-0.018074483387982027
135,-0.01,-0.01
136,-0.01,-0.06722125786533016
137,-0.01,-0.01
142,-0.01,-0.01
145,-0.01,-0.07653612939453093
147,-0.01,-0.32200084639713183
149,-0.01,-0.09693958716629383
150,-3.0,-3.0
151,-0.15545183456170092,-1.1444871271760046
153,-0.01,-0.3623048761006739
157,-0.01,-0.01
158,-0.01,-0.01
161,-0.01,-0.026934926177419168
163,-0.01,-0.01
165,-0.01,-0.36408687239144044
167,-0.01,-0.10254540111540793
168,-0.01,-0.01
170,-0.01,-0.19869562417230785
171,-0.01,-0.01
175,-0.01,-0.06566550579310165
177,-0.01,-0.2730063552982753
178,-0.01,-0.01
181,-0.01,-0.1319810394874684
183,-0.01,-0.05252648080629063
184,-0.01,-0.47271584720231047
185,-0.01,-0.04702071989571857
187,-0.01,-0.11115097249626481
190,-0.01,-0.01
193,-0.01,-0.01
194,-0.01,-0.01
196,-0.01,-0.01
197,-0.01,-0.38367678381307213
200,-0.01,-0.01
201,-0.01,-0.05336416906055358
205,-0.01,-0.01
207,-0.01,-0.1147880962186373
210,-0.01,-0.017364343368490666
211,-0.01,-0.1857611147612647
213,-0.01,-0.2572043063357332
215,-1.3905327271558339,-2.347932993622243
216,-0.01,-0.01
217,-0.01,-0.01
219,-0.01,-0.01
224,-0.01,-0.01
226,-0.01,-0.01
228,-0.01,-0.01
230,-0.01,-0.4479522920125905
