sku_id,mean_revenue,mean_margin,price
sku_0.005,37500.0,-75000.0,100
sku_0.005,53533.333333333336,-26766.666666666668,200
sku_0.005,55950.0,0.0,300
sku_0.005,49320.0,12330.0,400
sku_0.005,37417.391304347824,14966.95652173913,500
sku_0.005,28687.5,14343.75,600
sku_0.005,19162.5,10950.0,700
sku_0.005,14000.0,8750.0,800
sku_0.005,10650.0,7100.0,900
sku_0.005,6000.0,4200.0,1000
sku_0.005,4400.0,3200.0,1100
sku_0.0051,37087.5,-74175.0,100
sku_0.0051,52514.28571428572,-26257.14285714286,200
sku_0.0051,56580.0,0.0,300
sku_0.0051,43666.666666666664,10916.666666666666,400
sku_0.0051,35823.07692307692,14329.23076923077,500
sku_0.0051,27163.636363636364,13581.818181818182,600
sku_0.0051,21466.666666666668,12266.666666666666,700
sku_0.0051,13040.0,8150.0,800
sku_0.0051,8614.285714285714,5742.857142857143,900
sku_0.0051,6875.0,4812.5,1000
sku_0.0051,3740.0,2720.0,1100
sku_0.0052,36741.666666666664,-73483.33333333333,100
sku_0.0052,50600.0,-25300.0,200
sku_0.0052,52033.333333333336,0.0,300
sku_0.0052,44500.0,11125.0,400
sku_0.0052,34355.14018691589,13742.056074766355,500
sku_0.0052,23850.0,11925.0,600
sku_0.0052,18533.333333333332,10590.47619047619,700
sku_0.0052,12400.0,7750.0,800
sku_0.0052,7200.0,4800.0,900
sku_0.0052,6000.0,4200.0,1000
sku_0.0052,4714.285714285715,3428.5714285714284,1100
sku_0.0053,36600.0,-73200.0,100
sku_0.0053,50714.28571428572,-25357.14285714286,200
sku_0.0053,51466.666666666664,0.0,300
sku_0.0053,42080.0,10520.0,400
sku_0.0053,32577.380952380954,13030.952380952382,500
sku_0.0053,23270.58823529412,11635.29411764706,600
sku_0.0053,15000.0,8571.42857142857,700
sku_0.0053,12000.0,7500.0,800
sku_0.0053,9385.714285714286,6257.142857142857,900
sku_0.0053,6250.0,4375.0,1000
sku_0.0053,2828.5714285714284,2057.1428571428573,1100
sku_0.0054,35828.57142857143,-71657.14285714286,100
sku_0.0054,49950.0,-24975.0,200
sku_0.0054,49663.63636363636,0.0,300
sku_0.0054,40533.333333333336,10133.333333333334,400
sku_0.0054,31529.62962962963,12611.851851851852,500
sku_0.0054,20900.0,10450.0,600
sku_0.0054,17266.666666666668,9866.666666666666,700
sku_0.0054,10400.0,6500.0,800
sku_0.0054,8250.0,5500.0,900
sku_0.0054,3600.0,2520.0,1000
sku_0.0054,2933.3333333333335,2133.3333333333335,1100
sku_0.0055,36111.11111111111,-72222.22222222222,100
sku_0.0055,48080.0,-24040.0,200
sku_0.0055,46700.0,0.0,300
sku_0.0055,42960.0,10740.0,400
sku_0.0055,30461.53846153846,12184.615384615385,500
sku_0.0055,21733.333333333332,10866.666666666666,600
sku_0.0055,12390.0,7080.0,700
sku_0.0055,10200.0,6375.0,800
sku_0.0055,6171.428571428572,4114.285714285715,900
sku_0.0055,4555.555555555556,3188.8888888888887,1000
sku_0.0055,2933.3333333333335,2133.3333333333335,1100
sku_0.0056,36016.666666666664,-72033.33333333333,100
sku_0.0056,49800.0,-24900.0,200
sku_0.0056,45171.42857142857,0.0,300
sku_0.0056,38500.0,9625.0,400
sku_0.0056,28283.333333333332,11313.333333333334,500
sku_0.0056,20400.0,10200.0,600
sku_0.0056,14466.666666666666,8266.666666666666,700
sku_0.0056,8654.545454545454,5409.090909090909,800
sku_0.0056,5850.0,3900.0,900
sku_0.0056,3777.777777777778,2644.4444444444443,1000
sku_0.0056,2200.0,1600.0,1100
sku_0.0057,36266.666666666664,-72533.33333333333,100
sku_0.0057,48375.0,-24187.5,200
sku_0.0057,48600.0,0.0,300
sku_0.0057,37520.0,9380.0,400
sku_0.0057,27705.223880597016,11082.089552238805,500
sku_0.0057,18075.0,9037.5,600
sku_0.0057,14000.0,8000.0,700
sku_0.0057,7600.0,4750.0,800
sku_0.0057,4650.0,3100.0,900
sku_0.0057,2000.0,1400.0,1000
sku_0.0057,2860.0,2080.0,1100
sku_0.0058,36800.0,-73600.0,100
sku_0.0058,50600.0,-25300.0,200
sku_0.0058,44078.57142857143,0.0,300
sku_0.0058,36114.28571428572,9028.57142857143,400
sku_0.0058,26150.79365079365,10460.317460317461,500
sku_0.0058,16285.714285714286,8142.857142857143,600
sku_0.0058,12308.333333333334,7033.333333333333,700
sku_0.0058,6666.666666666667,4166.666666666667,800
sku_0.0058,4950.0,3300.0,900
sku_0.0058,2714.285714285714,1900.0,1000
sku_0.0058,0.0,0.0,1100
sku_0.0059,35457.142857142855,-70914.28571428571,100
sku_0.0059,45338.46153846154,-22669.23076923077,200
sku_0.0059,43125.0,0.0,300
sku_0.0059,33900.0,8475.0,400
sku_0.0059,25783.898305084746,10313.559322033898,500
sku_0.0059,16462.5,8231.25,600
sku_0.0059,9400.0,5371.428571428572,700
sku_0.0059,6800.0,4250.0,800
sku_0.0059,4600.0,3066.6666666666665,900
sku_0.0059,2250.0,1575.0,1000
sku_0.0059,1375.0,1000.0,1100
sku_0.006,37250.0,-74500.0,100
sku_0.006,43933.333333333336,-21966.666666666668,200
sku_0.006,43762.5,0.0,300
sku_0.006,33283.58208955224,8320.89552238806,400
sku_0.006,23628.571428571428,9451.42857142857,500
sku_0.006,14625.0,7312.5,600
sku_0.006,10640.0,6080.0,700
sku_0.006,6044.444444444444,3777.777777777778,800
sku_0.006,3750.0,2500.0,900
sku_0.006,2000.0,1400.0,1000
sku_0.006,2090.0,1520.0,1100
