sku_id,discount,ds
34,-0.1,20240107
71,-0.1,20240107
357,-0.1,20240101
344,-0.1,20240103
150,-0.1,20240105
339,-0.1,20240103
151,-0.1,20240105
373,-0.1,20240101
393,-0.1,20240101
322,-0.1,20240103
316,-0.1,20240103
296,-0.1,20240103
294,-0.1,20240103
34,-0.1,20240102
393,-0.1,20240106
215,-0.1,20240105
373,-0.1,20240106
71,-0.1,20240102
357,-0.1,20240103
344,-0.1,20240101
339,-0.1,20240101
118,-0.1,20240105
393,-0.1,20240104
71,-0.1,20240104
215,-0.1,20240101
215,-0.1,20240107
34,-0.1,20240105
34,-0.1,20240104
151,-0.1,20240107
150,-0.1,20240107
357,-0.1,20240106
71,-0.1,20240105
296,-0.1,20240101
393,-0.1,20240103
316,-0.1,20240101
118,-0.1,20240107
322,-0.1,20240101
117,-0.1,20240107
373,-0.1,20240103
117,-0.1,20240105
294,-0.1,20240101
344,-0.1,20240106
339,-0.1,20240106
117,-0.1,20240102
71,-0.1,20240103
393,-0.1,20240105
294,-0.1,20240102
296,-0.1,20240102
151,-0.1,20240106
316,-0.1,20240102
150,-0.1,20240106
322,-0.1,20240102
373,-0.1,20240105
34,-0.1,20240103
339,-0.1,20240102
118,-0.1,20240106
117,-0.1,20240106
344,-0.1,20240102
357,-0.1,20240102
60,-0.1,20240106
393,-0.1,20240102
373,-0.1,20240102
34,-0.1,20240106
117,-0.1,20240104
215,-0.1,20240106
117,-0.1,20240103
118,-0.1,20240102
215,-0.1,20240103
322,-0.1,20240106
316,-0.1,20240106
294,-0.1,20240105
296,-0.1,20240105
150,-0.1,20240102
151,-0.1,20240102
357,-0.1,20240105
296,-0.1,20240106
316,-0.1,20240105
322,-0.1,20240105
151,-0.1,20240103
150,-0.1,20240103
215,-0.1,20240102
339,-0.1,20240105
344,-0.1,20240105
118,-0.1,20240103
294,-0.1,20240106
118,-0.1,20240104
71,-0.1,20240106
296,-0.1,20240107
322,-0.1,20240104
339,-0.1,20240104
373,-0.1,20240107
151,-0.1,20240101
316,-0.1,20240104
316,-0.1,20240107
150,-0.1,20240101
294,-0.1,20240104
296,-0.1,20240104
215,-0.1,20240104
344,-0.1,20240104
34,-0.1,20240101
117,-0.1,20240101
357,-0.1,20240104
150,-0.1,20240104
118,-0.1,20240101
357,-0.1,20240107
294,-0.1,20240107
151,-0.1,20240104
339,-0.1,20240107
322,-0.1,20240107
344,-0.1,20240107
393,-0.1,20240107
71,-0.1,20240101
373,-0.1,20240104
288,0.1,20240105
335,0.1,20240105
267,0.1,20240105
334,0.1,20240105
333,0.1,20240105
271,0.1,20240105
332,0.1,20240105
331,0.1,20240105
330,0.1,20240105
328,0.1,20240105
272,0.1,20240105
327,0.1,20240105
313,0.1,20240104
336,0.1,20240105
337,0.1,20240105
338,0.1,20240105
330,0.1,20240104
265,0.1,20240105
311,0.1,20240104
262,0.1,20240105
260,0.1,20240105
340,0.1,20240105
342,0.1,20240105
343,0.1,20240105
331,0.1,20240104
308,0.1,20240104
257,0.1,20240105
348,0.1,20240105
349,0.1,20240105
326,0.1,20240105
325,0.1,20240105
273,0.1,20240105
324,0.1,20240105
289,0.1,20240105
326,0.1,20240104
290,0.1,20240105
292,0.1,20240105
325,0.1,20240104
293,0.1,20240105
324,0.1,20240104
284,0.1,20240105
298,0.1,20240105
283,0.1,20240105
321,0.1,20240104
300,0.1,20240105
303,0.1,20240105
306,0.1,20240105
286,0.1,20240105
307,0.1,20240105
280,0.1,20240105
278,0.1,20240105
327,0.1,20240104
320,0.1,20240104
351,0.1,20240105
311,0.1,20240105
313,0.1,20240105
314,0.1,20240105
328,0.1,20240104
320,0.1,20240105
321,0.1,20240105
277,0.1,20240105
314,0.1,20240104
275,0.1,20240105
308,0.1,20240105
353,0.1,20240105
378,0.1,20240104
307,0.1,20240104
283,0.1,20240104
40,0.1,20240106
284,0.1,20240104
35,0.1,20240106
286,0.1,20240104
33,0.1,20240106
32,0.1,20240106
280,0.1,20240104
31,0.1,20240106
25,0.1,20240106
24,0.1,20240106
23,0.1,20240106
288,0.1,20240104
21,0.1,20240106
20,0.1,20240106
19,0.1,20240106
30,0.1,20240106
17,0.1,20240106
278,0.1,20240104
42,0.1,20240106
68,0.1,20240106
273,0.1,20240104
67,0.1,20240106
66,0.1,20240106
275,0.1,20240104
65,0.1,20240106
63,0.1,20240106
41,0.1,20240106
59,0.1,20240106
56,0.1,20240106
51,0.1,20240106
48,0.1,20240106
277,0.1,20240104
47,0.1,20240106
45,0.1,20240106
44,0.1,20240106
58,0.1,20240106
289,0.1,20240104
16,0.1,20240106
290,0.1,20240104
377,0.1,20240105
372,0.1,20240105
371,0.1,20240105
370,0.1,20240105
368,0.1,20240105
367,0.1,20240105
366,0.1,20240105
378,0.1,20240105
365,0.1,20240105
300,0.1,20240104
363,0.1,20240105
362,0.1,20240105
255,0.1,20240105
359,0.1,20240105
303,0.1,20240104
306,0.1,20240104
364,0.1,20240105
379,0.1,20240105
383,0.1,20240105
386,0.1,20240105
292,0.1,20240104
11,0.1,20240106
10,0.1,20240106
8,0.1,20240106
7,0.1,20240106
4,0.1,20240106
3,0.1,20240106
1,0.1,20240106
401,0.1,20240105
293,0.1,20240104
400,0.1,20240105
399,0.1,20240105
398,0.1,20240105
392,0.1,20240105
389,0.1,20240105
298,0.1,20240104
387,0.1,20240105
356,0.1,20240105
251,0.1,20240105
243,0.1,20240105
247,0.1,20240105
77,0.1,20240105
366,0.1,20240104
69,0.1,20240105
367,0.1,20240104
68,0.1,20240105
67,0.1,20240105
66,0.1,20240105
65,0.1,20240105
63,0.1,20240105
60,0.1,20240105
59,0.1,20240105
58,0.1,20240105
56,0.1,20240105
51,0.1,20240105
48,0.1,20240105
79,0.1,20240105
80,0.1,20240105
82,0.1,20240105
365,0.1,20240104
111,0.1,20240105
109,0.1,20240105
108,0.1,20240105
359,0.1,20240104
105,0.1,20240105
362,0.1,20240104
104,0.1,20240105
47,0.1,20240105
363,0.1,20240104
97,0.1,20240105
96,0.1,20240105
94,0.1,20240105
87,0.1,20240105
84,0.1,20240105
83,0.1,20240105
364,0.1,20240104
102,0.1,20240105
45,0.1,20240105
44,0.1,20240105
42,0.1,20240105
10,0.1,20240105
8,0.1,20240105
7,0.1,20240105
4,0.1,20240105
3,0.1,20240105
1,0.1,20240105
401,0.1,20240104
11,0.1,20240105
400,0.1,20240104
398,0.1,20240104
392,0.1,20240104
389,0.1,20240104
387,0.1,20240104
386,0.1,20240104
383,0.1,20240104
377,0.1,20240104
399,0.1,20240104
113,0.1,20240105
16,0.1,20240105
372,0.1,20240104
41,0.1,20240105
40,0.1,20240105
35,0.1,20240105
368,0.1,20240104
33,0.1,20240105
32,0.1,20240105
31,0.1,20240105
17,0.1,20240105
30,0.1,20240105
24,0.1,20240105
23,0.1,20240105
21,0.1,20240105
20,0.1,20240105
19,0.1,20240105
370,0.1,20240104
371,0.1,20240104
25,0.1,20240105
115,0.1,20240105
116,0.1,20240105
119,0.1,20240105
211,0.1,20240105
210,0.1,20240105
336,0.1,20240104
337,0.1,20240104
207,0.1,20240105
205,0.1,20240105
201,0.1,20240105
213,0.1,20240105
338,0.1,20240104
197,0.1,20240105
196,0.1,20240105
194,0.1,20240105
193,0.1,20240105
190,0.1,20240105
187,0.1,20240105
185,0.1,20240105
200,0.1,20240105
184,0.1,20240105
335,0.1,20240104
217,0.1,20240105
332,0.1,20240104
246,0.1,20240105
244,0.1,20240105
333,0.1,20240104
379,0.1,20240104
242,0.1,20240105
240,0.1,20240105
216,0.1,20240105
236,0.1,20240105
234,0.1,20240105
230,0.1,20240105
228,0.1,20240105
226,0.1,20240105
334,0.1,20240104
224,0.1,20240105
219,0.1,20240105
235,0.1,20240105
248,0.1,20240105
183,0.1,20240105
340,0.1,20240104
142,0.1,20240105
137,0.1,20240105
136,0.1,20240105
135,0.1,20240105
349,0.1,20240104
351,0.1,20240104
133,0.1,20240105
145,0.1,20240105
131,0.1,20240105
129,0.1,20240105
128,0.1,20240105
126,0.1,20240105
356,0.1,20240104
125,0.1,20240105
124,0.1,20240105
120,0.1,20240105
353,0.1,20240104
181,0.1,20240105
147,0.1,20240105
348,0.1,20240104
178,0.1,20240105
177,0.1,20240105
175,0.1,20240105
171,0.1,20240105
170,0.1,20240105
69,0.1,20240106
168,0.1,20240105
149,0.1,20240105
167,0.1,20240105
163,0.1,20240105
161,0.1,20240105
158,0.1,20240105
157,0.1,20240105
342,0.1,20240104
153,0.1,20240105
343,0.1,20240104
165,0.1,20240105
1,0.1,20240101
128,0.1,20240106
79,0.1,20240106
175,0.1,20240107
171,0.1,20240107
170,0.1,20240107
168,0.1,20240107
167,0.1,20240107
165,0.1,20240107
163,0.1,20240107
161,0.1,20240107
177,0.1,20240107
158,0.1,20240107
153,0.1,20240107
149,0.1,20240107
147,0.1,20240107
145,0.1,20240107
142,0.1,20240107
137,0.1,20240107
136,0.1,20240107
135,0.1,20240107
157,0.1,20240107
133,0.1,20240107
178,0.1,20240107
183,0.1,20240107
219,0.1,20240107
217,0.1,20240107
216,0.1,20240107
213,0.1,20240107
211,0.1,20240107
210,0.1,20240107
207,0.1,20240107
205,0.1,20240107
181,0.1,20240107
201,0.1,20240107
197,0.1,20240107
196,0.1,20240107
194,0.1,20240107
193,0.1,20240107
190,0.1,20240107
187,0.1,20240107
185,0.1,20240107
184,0.1,20240107
200,0.1,20240107
131,0.1,20240107
129,0.1,20240107
128,0.1,20240107
77,0.1,20240107
69,0.1,20240107
68,0.1,20240107
67,0.1,20240107
66,0.1,20240107
65,0.1,20240107
63,0.1,20240107
60,0.1,20240107
79,0.1,20240107
59,0.1,20240107
56,0.1,20240107
