sku_id,ds,gmv,orders_num
1,20240101,31787.53846153846,2289.6153846153848
3,20240101,14897.76923076923,1097.8461538461538
4,20240101,225048.61538461538,3871.4615384615386
7,20240101,1166771.1666666667,5239.0
8,20240101,613595.2857142857,5803.142857142857
10,20240101,10896.333333333334,49.416666666666664
11,20240101,5541.928571428572,393.85714285714283
16,20240101,58672.38461538462,3585.230769230769
17,20240101,360195.92307692306,3150.923076923077
19,20240101,4904.785714285715,344.64285714285717
20,20240101,364214.5,6763.5
21,20240101,140165.23076923078,991.4615384615385
23,20240101,385388.28571428574,4025.8571428571427
24,20240101,85463.75,746.1666666666666
25,20240101,52473.46153846154,262.2307692307692
30,20240101,110789.66666666667,2001.6666666666667
31,20240101,202761.0,703.7142857142857
32,20240101,17655.727272727272,218.54545454545453
33,20240101,770713.3571428572,502.35714285714283
34,20240101,909.3076923076923,22.0
35,20240101,10178.583333333334,12.333333333333334
40,20240101,35632.230769230766,978.0
41,20240101,684784.25,4640.5
42,20240101,18219.727272727272,1212.5454545454545
44,20240101,1419.5384615384614,95.92307692307692
45,20240101,1399.9285714285713,66.0
47,20240101,50179.92857142857,2207.785714285714
48,20240101,129496.85714285714,1438.0
51,20240101,277640.4166666667,19142.166666666668
56,20240101,242526.41666666666,2553.25
58,20240101,5812.076923076923,17.307692307692307
59,20240101,2231.9285714285716,73.71428571428571
60,20240101,98446.30769230769,1905.076923076923
63,20240101,296025.21428571426,95.42857142857143
65,20240101,109449.54545454546,4153.909090909091
66,20240101,66024.84615384616,201.69230769230768
67,20240101,159491.08333333334,3549.4166666666665
68,20240101,6806.5,414.1666666666667
69,20240101,156035.75,3278.4166666666665
71,20240101,723496.6923076923,10495.538461538461
77,20240101,24058.909090909092,267.8181818181818
79,20240101,1958083.357142857,13033.285714285714
80,20240101,22933.25,1547.8333333333333
82,20240101,111124.92857142857,3478.8571428571427
83,20240101,34146.28571428572,732.0
84,20240101,19160.083333333332,51.583333333333336
87,20240101,629.8461538461538,9.923076923076923
94,20240101,34715.846153846156,851.0
96,20240101,1943.9285714285713,50.714285714285715
97,20240101,7750.727272727273,27.363636363636363
102,20240101,2511.076923076923,109.38461538461539
104,20240101,820.75,14.0
105,20240101,45655.153846153844,47.38461538461539
108,20240101,3541.8571428571427,30.071428571428573
109,20240101,8930.416666666666,218.08333333333334
111,20240101,23977.384615384617,221.0
113,20240101,42790.36363636364,548.0909090909091
115,20240101,31440.076923076922,1675.3076923076924
116,20240101,19852.30769230769,438.2307692307692
117,20240101,16557.076923076922,154.69230769230768
118,20240101,38033.5,656.5
119,20240101,126474.07692307692,5950.846153846154
120,20240101,144771.84615384616,454.3076923076923
124,20240101,108813.85714285714,3420.1428571428573
125,20240101,55713.666666666664,2444.25
126,20240101,7178.636363636364,102.9090909090909
128,20240101,9863.25,302.9166666666667
129,20240101,7982.083333333333,483.0833333333333
131,20240101,46922.307692307695,1256.8461538461538
133,20240101,2863.0,37.0
135,20240101,18405.64285714286,152.5
136,20240101,21174.615384615383,891.1538461538462
137,20240101,55856.666666666664,327.9166666666667
142,20240101,83843.66666666667,1549.4166666666667
145,20240101,1142.1666666666667,74.58333333333333
147,20240101,16951.166666666668,62.333333333333336
149,20240101,25374.69230769231,942.3076923076923
150,20240101,5998.461538461538,17.076923076923077
151,20240101,159290.0,7501.7692307692305
153,20240101,83075.69230769231,414.84615384615387
157,20240101,51085.307692307695,387.0
158,20240101,9247.333333333334,383.25
161,20240101,73533.16666666667,1761.0
163,20240101,77231.09090909091,2308.6363636363635
165,20240101,27136.384615384617,684.8461538461538
167,20240101,151556.0,2188.214285714286
168,20240101,302.15384615384613,13.538461538461538
170,20240101,26734.35714285714,633.6428571428571
171,20240101,186698.16666666666,1767.1666666666667
175,20240101,32503.714285714286,468.2857142857143
177,20240101,38583.28571428572,124.14285714285714
178,20240101,14081.5,111.83333333333333
181,20240101,4747.545454545455,161.27272727272728
183,20240101,488814.8333333333,2134.4166666666665
184,20240101,849.0,43.30769230769231
185,20240101,26205.5,91.07142857142857
187,20240101,385425.6153846154,5763.461538461538
190,20240101,1442.1666666666667,51.916666666666664
193,20240101,73730.76923076923,290.6923076923077
194,20240101,47878.692307692305,34.84615384615385
