sku_id,ds,price
499,20240114,3949.83
541,20240108,4113.21
541,20240107,4113.21
541,20240106,4113.21
541,20240105,4113.21
541,20240104,4113.21
541,20240103,4113.21
541,20240102,4113.21
541,20240101,4113.21
539,20240114,2058.24
539,20240113,2058.24
539,20240112,2058.24
539,20240111,2058.24
539,20240110,2058.24
539,20240109,2058.24
539,20240108,2058.24
539,20240107,2058.24
539,20240106,2058.24
539,20240105,2058.24
539,20240104,2058.24
539,20240103,2058.24
539,20240102,2058.24
539,20240101,2058.24
538,20240114,2022.67
538,20240113,2022.67
538,20240112,2022.67
541,20240109,4113.21
541,20240110,4113.21
541,20240111,4113.21
541,20240112,4113.21
554,20240110,4609.87
554,20240109,4609.87
554,20240108,4609.87
554,20240107,4609.87
554,20240106,4609.87
554,20240105,4609.87
554,20240104,4609.87
554,20240103,4609.87
554,20240102,4609.87
554,20240101,4609.87
551,20240114,8443.6
551,20240113,8443.6
538,20240111,2022.67
551,20240112,8443.6
551,20240110,8443.6
551,20240109,8443.6
551,20240108,8443.6
551,20240107,8443.6
551,20240106,8443.6
551,20240105,8443.6
551,20240104,8443.6
551,20240103,8443.6
551,20240102,8443.6
551,20240101,8443.6
541,20240114,4113.21
541,20240113,4113.21
551,20240111,8443.6
538,20240110,2022.67
538,20240109,2022.67
538,20240108,2022.67
520,20240105,8274.35
520,20240104,8274.35
520,20240103,8274.35
520,20240102,8274.35
520,20240101,8274.35
511,20240114,2452.39
511,20240113,2452.39
511,20240112,2452.39
511,20240111,2452.39
511,20240110,2452.39
511,20240109,2452.39
511,20240108,2452.39
520,20240106,8274.35
511,20240107,2452.39
511,20240105,2452.39
511,20240104,2452.39
511,20240103,2452.39
511,20240102,2452.39
511,20240101,2452.39
510,20240114,2664.09
510,20240113,2664.09
510,20240112,2664.09
510,20240111,2664.09
510,20240110,2664.09
510,20240109,2664.09
510,20240108,2664.09
511,20240106,2452.39
554,20240111,4609.87
520,20240107,8274.35
520,20240109,8274.35
538,20240107,2022.67
538,20240106,2022.67
538,20240105,2022.67
538,20240104,2022.67
538,20240103,2022.67
538,20240102,2022.67
538,20240101,2022.67
536,20240114,8233.26
536,20240113,8233.26
536,20240112,8233.26
536,20240111,8233.26
536,20240110,8233.26
520,20240108,8274.35
536,20240109,8233.26
536,20240107,8233.26
536,20240106,8233.26
536,20240105,8233.26
536,20240104,8233.26
536,20240103,8233.26
536,20240102,8233.26
536,20240101,8233.26
520,20240114,8274.35
520,20240113,8274.35
520,20240112,8274.35
520,20240111,8274.35
520,20240110,8274.35
536,20240108,8233.26
510,20240107,2664.09
554,20240112,4609.87
554,20240114,4609.87
569,20240101,6241.07
566,20240114,3784.34
566,20240113,3784.34
566,20240112,3784.34
566,20240111,3784.34
566,20240110,3784.34
566,20240109,3784.34
566,20240108,3784.34
566,20240107,3784.34
566,20240106,3784.34
566,20240105,3784.34
566,20240104,3784.34
566,20240103,3784.34
566,20240102,3784.34
566,20240101,3784.34
564,20240114,7020.04
564,20240113,7020.04
564,20240112,7020.04
564,20240111,7020.04
564,20240110,7020.04
564,20240109,7020.04
564,20240108,7020.04
564,20240107,7020.04
564,20240106,7020.04
564,20240105,7020.04
569,20240102,6241.07
569,20240103,6241.07
569,20240104,6241.07
569,20240105,6241.07
574,20240103,5134.73
574,20240102,5134.73
574,20240101,5134.73
571,20240114,3741.99
571,20240113,3741.99
571,20240112,3741.99
571,20240111,3741.99
571,20240110,3741.99
571,20240109,3741.99
571,20240108,3741.99
571,20240107,3741.99
571,20240106,3741.99
564,20240104,7020.04
571,20240105,3741.99
571,20240103,3741.99
571,20240102,3741.99
571,20240101,3741.99
569,20240114,6241.07
569,20240113,6241.07
569,20240112,6241.07
569,20240111,6241.07
569,20240110,6241.07
569,20240109,6241.07
569,20240108,6241.07
569,20240107,6241.07
569,20240106,6241.07
571,20240104,3741.99
564,20240103,7020.04
564,20240102,7020.04
564,20240101,7020.04
556,20240112,8642.32
556,20240111,8642.32
556,20240110,8642.32
556,20240109,8642.32
556,20240108,8642.32
556,20240107,8642.32
556,20240106,8642.32
556,20240105,8642.32
556,20240104,8642.32
556,20240103,8642.32
556,20240102,8642.32
556,20240101,8642.32
556,20240113,8642.32
555,20240114,4987.98
555,20240112,4987.98
555,20240111,4987.98
555,20240110,4987.98
555,20240109,4987.98
555,20240108,4987.98
555,20240107,4987.98
555,20240106,4987.98
555,20240105,4987.98
555,20240104,4987.98
555,20240103,4987.98
555,20240102,4987.98
555,20240101,4987.98
555,20240113,4987.98
554,20240113,4609.87
556,20240114,8642.32
558,20240102,1442.73
559,20240114,1523.83
559,20240113,1523.83
559,20240112,1523.83
559,20240111,1523.83
559,20240110,1523.83
559,20240109,1523.83
559,20240108,1523.83
559,20240107,1523.83
559,20240106,1523.83
559,20240105,1523.83
559,20240104,1523.83
559,20240103,1523.83
558,20240101,1442.73
559,20240102,1523.83
558,20240114,1442.73
558,20240113,1442.73
558,20240112,1442.73
558,20240111,1442.73
558,20240110,1442.73
558,20240109,1442.73
558,20240108,1442.73
558,20240107,1442.73
558,20240106,1442.73
558,20240105,1442.73
558,20240104,1442.73
558,20240103,1442.73
559,20240101,1523.83
510,20240106,2664.09
510,20240105,2664.09
510,20240104,2664.09
484,20240107,2487.55
484,20240106,2487.55
484,20240105,2487.55
484,20240104,2487.55
484,20240103,2487.55
484,20240102,2487.55
484,20240101,2487.55
483,20240114,4710.38
483,20240113,4710.38
483,20240112,4710.38
483,20240111,4710.38
483,20240110,4710.38
483,20240109,4710.38
483,20240108,4710.38
483,20240107,4710.38
483,20240106,4710.38
483,20240105,4710.38
483,20240104,4710.38
483,20240103,4710.38
483,20240102,4710.38
483,20240101,4710.38
482,20240114,4328.42
482,20240113,4328.42
482,20240112,4328.42
482,20240111,4328.42
484,20240108,2487.55
484,20240109,2487.55
484,20240110,2487.55
484,20240111,2487.55
493,20240109,7527.72
493,20240108,7527.72
493,20240107,7527.72
493,20240106,7527.72
493,20240105,7527.72
493,20240104,7527.72
493,20240103,7527.72
493,20240102,7527.72
493,20240101,7527.72
485,20240114,4563.73
485,20240113,4563.73
485,20240112,4563.73
482,20240110,4328.42
485,20240111,4563.73
485,20240109,4563.73
485,20240108,4563.73
485,20240107,4563.73
485,20240106,4563.73
485,20240105,4563.73
485,20240104,4563.73
485,20240103,4563.73
485,20240102,4563.73
485,20240101,4563.73
484,20240114,2487.55
484,20240113,2487.55
484,20240112,2487.55
485,20240110,4563.73
482,20240109,4328.42
482,20240108,4328.42
482,20240107,4328.42
475,20240104,2742.17
475,20240103,2742.17
475,20240102,2742.17
475,20240101,2742.17
471,20240114,1574.95
471,20240113,1574.95
471,20240112,1574.95
471,20240111,1574.95
471,20240110,1574.95
471,20240109,1574.95
471,20240108,1574.95
471,20240107,1574.95
475,20240105,2742.17
471,20240106,1574.95
471,20240104,1574.95
471,20240103,1574.95
471,20240102,1574.95
471,20240101,1574.95
468,20240114,1264.56
468,20240113,1264.56
468,20240112,1264.56
468,20240111,1264.56
468,20240110,1264.56
468,20240109,1264.56
468,20240108,1264.56
468,20240107,1264.56
471,20240105,1574.95
493,20240110,7527.72
475,20240106,2742.17
475,20240108,2742.17
482,20240106,4328.42
482,20240105,4328.42
482,20240104,4328.42
482,20240103,4328.42
482,20240102,4328.42
482,20240101,4328.42
480,20240114,7655.3
480,20240113,7655.3
